SiteNumber,SiteName,BeginDate,EndDate,Latitude,Longitude,DrainageArea_sqmi
03342500,"BUSSERON CREEK NEAR CARLISLE, IN",10/1/1943,9/30/2003,38.97421,-87.425853,228
03347500,"BUCK CREEK NEAR MUNCIE, IND",10/1/1954,9/30/2003,40.134767,-85.373582,35.5
03348020,"KILLBUCK CREEK NEAR GASTON, IND.",6/1/1968,9/30/1991,40.262542,-85.514695,25.5
03350700,"STONY CREEK NEAR NOBLESVILLE, IND.",6/27/1967,9/30/2005,40.028925,-85.995539,50.8
03351000,"WHITE RIVER NEAR NORA, IN",10/1/1929,9/30/2005,39.910595,-86.105542,1219
03354000,"WHITE RIVER NEAR CENTERTON, IN",10/1/1930,9/30/2005,39.497548,-86.400549,2444
03357330,"BIG WALNUT CREEK NEAR ROACHDALE, IN",10/26/2001,9/30/2005,39.816157,-86.75334,131
03358000,"MILL CREEK NEAR CATARACT, IND.",10/1/1949,9/30/2005,39.433379,-86.76334,245
03360895,"KESSINGER DITCH NEAR MONROE CITY, IN",10/1/1992,9/30/1998,38.570604,-87.276958,56.2
03361000,"BIG BLUE RIVER AT CARTHAGE, IN",10/1/1950,9/30/2005,39.743934,-85.575808,184
03362500,"SUGAR CREEK NEAR EDINBURGH, IN",4/1/1943,9/30/2005,39.360884,-85.997492,474
03364200,"HAW CREEK NEAR CLIFFORD, IND.",8/1/1967,9/30/1991,39.267829,-85.8561,47.5
03365500,EAST FORK WHITE RIVER AT SEYMOUR IND,10/1/1927,9/30/2005,38.982553,-85.899144,2341
03369500,"VERNON FORK MUSCATATUCK RIVER AT VERNON, IN",10/1/1939,9/30/2005,38.976443,-85.61969,198
03372300,"STEPHENS CREEK NEAR BLOOMINGTON, IND.",10/1/1970,9/30/1991,39.163659,-86.418327,10.9
03373530,"LOST RIVER NEAR LEIPSIC, IN",10/1/1992,9/30/2001,38.636444,-86.365264,34.8
03376279,"LITTLE FLAT CR NR OTWELL,IN SITE243A",9/18/1980,10/29/1981,38.422273,-87.068337,#N/A
03376350,"SOUTH FORK PATOKA RIVER NEAR SPURGEON, IND.",10/1/1964,9/30/2005,38.296994,-87.260286,42.8
03378000,"BONPAS CREEK AT BROWNS, IL",12/28/1916,9/30/2005,38.386437,-87.975588,228
03378635,"LITTLE WABASH RIVER NEAR EFFINGHAM, IL",10/1/1966,9/30/2005,39.103931,-88.594218,240
03380350,"SKILLET FORK NEAR IUKA, IL",10/1/1965,10/7/1982,38.519492,-88.727556,208
03380500,"SKILLET FORK AT WAYNE CITY, IL",10/1/1908,9/30/2005,38.358333,-88.584722,464
03381500,"LITTLE WABASH RIVER AT CARMI, IL",10/1/1939,9/30/2005,38.061157,-88.15976,3102
03382170,"BRUSHY CREEK NEAR HARCO, IL",7/1/1968,10/6/1982,37.775048,-88.652279,13.3
03382200,"MIDDLE FORK SALINE RIVER NEAR HARRISBURG, IL",10/25/1922,9/30/1932,37.738381,-88.501439,225
03382510,"EAGLE CREEK NEAR EQUALITY, IL",6/9/1966,9/30/1982,37.650882,-88.391154,8.51
03400990,"CLOVER FORK AT HARLAN, KY",10/1/1978,9/30/1992,36.847311,-83.325181,222
03403910,"CLEAR FORK AT SAXTON, KY",7/1/1968,9/30/2004,36.633971,-84.111597,331
03404000,"CUMBERLAND RIVER AT WILLIAMSBURG, KY",10/1/1950,9/30/2005,36.743417,-84.156045,1607
03407500,"BUCK CREEK NEAR SHOPVILLE, KY", , ,37.210637,-84.464384,165
03407877,"BOWLING BRANCH ABOVE SMOKY JUNCTION, TN",12/2/1975,10/1/1981,36.270779,-84.404618,2.19
03408500,"NEW RIVER AT NEW RIVER, TN",9/1/1934,9/30/2005,36.385517,-84.554717,382
03409400,"WHITE OAK CREEK AT RUGBY, TN",1/3/1980,11/30/1981,36.3535,-84.690618,98
03410500,"SOUTH FORK CUMBERLAND RIVER NEAR STEARNS, KY",9/11/1942,9/30/2005,36.627022,-84.533272,954
03420000,"CALFKILLER RIVER BELOW SPARTA, TN",9/1/1940,9/30/1971,35.908676,-85.47942,175
03426385,"MANSKER CREEK ABOVE GOODLETTSVILLE, TN",8/1/1993,9/30/2005,36.339028,-86.71778,27.7
03436000,"SULPHUR FORK RED RIVER NEAR ADAMS, TN",1/1/1939,10/3/1991,36.515324,-87.05889,186
03436100,"RED RIVER AT PORT ROYAL, TN",8/1/1961,9/30/2005,36.554052,-87.141972,926
03438220,"CUMBERLAND RIVER NEAR GRAND RIVERS, KY",10/1/1989,9/30/1997,37.021722,-88.223085,17598
